Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4897836,Unit 312 - 25 Malcolm Rd,Leaside - Toronto,Condo Apt,"$ 669,990","$717,956",2020-09-03,2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,505","Condo Apt, Apartment",$542/month,-,700-799 feet²,None,heat,57 days,15 day(s),2020-09-03,2020-09-03,"$2,590",2.89%,Eglinton & Laird,,S,Toronto,"New Luxury Condo Suite In Leaside. The Bright New 2 Bedroom Suite With 9' Ceiling, Master Bdr With Double Closet & Spa-Inspired Ensuite. Full Balcony With Bbq Gas Line Let You Enjoy With Your Family And Friends. Luxury Amenities: Concierge, Gym, Roof Top Terrace, Party Room, Pet Spa & Bike Room. Transit At Your Door, Close To Dvp Highway."
C4905360,Unit 302 - 25 Malcolm Rd,Leaside - Toronto,Condo Apt,"$ 770,000","$791,419",2020-09-27,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,760","Condo Apt, Apartment",$883/month,0-5,900-999 feet²,None,heat,50 days,14 day(s),2020-09-10,2020-09-27,"$3,100",2.7%,Laird & Millwood,"Bbqs Allowed, Bike Storage, Concierge, Gym, Party/Meeting Room, Visitor Parking",E,Toronto,"Unique Leaside Boutique Condo Living At Its Best. 1000 Square Feet Of Living Space And Nearly 150 Square Feet Of Balcony. 2 Large Bedrooms, 2 Full Bathrooms, And A Den For The Home Office Or Additional 3rd Bedroom! Split Bedroom Floorplan, High Quality Finishes Including Gas Stove, High End Appliances, B/I Shelving In Closets And More. Premium Parking Spot Near Elevator! Well-Maintained Unit And Quiet Building. Plenty Of Convenient Amenities Nearby!"
C4962009,Unit 314 - 1 Leaside Park Dr,Leaside - Toronto,Condo Apt,"$ 429,000","$450,737",2020-10-26,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,607","Condo Apt, Apartment",$550/month,-,600-699 feet²,None,water,8 days,12 day(s),2020-10-21,2020-10-26,"$1,922",3.06%,Overlea | Leaside Park,"Exercise Room, Party/Meeting Room, Visitor Parking",S,Toronto,"Bright, 1-Bdr Apart With Balcony;Faces South,Overlooking The Park.9Ft Ceilings, Flr To Ceiling Wids, Granite Counters,Brand New Laminate Flrs, Large En Suite Lndry Rm. Oversized Locker On Same Flr, 1 Pkg Beside Elv. Common Areas & Grg Area Bright And Spacious, With Security Cameras; Bike & Vstr Pkg.Renovationof Cmmn Areas Are Funded And In Progress; Completion Sched For End Of20. Close To All Amnties, Leaside Shops&Rests, Swmg Pool,Tenniscrt,Mints To Ttc &Dvp"
C4954955,Unit 505 - 35 Brian Peck Cres,Leaside - Toronto,Condo Apt,"$ 749,900","$762,835",2020-10-26,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,591","Condo Apt, Apartment",$616/month,6-10,900-999 feet²,None,"water,heat",14 days,14 day(s),2020-10-15,2020-10-26,"$2,500",2.48%,Leslie/Eglinton,"Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Visitor Parking",Ne,Toronto,"Location, Location, Location, At This Award Winning Condo In Leaside With Fabulous Unobstructed Views Of Sunnybrook Park & The West Don River. Large 2-Bedroom + Den With 2 Bathrooms. Floor To Ceiling Windows For Loads Of Natural Light + Large Wrap Around Balcony. Walking Distance To Transit, Shopping & Restaurants. Have All Your Day To Day Needs At Your Doorstep And Tons Of Amenities Under One Roof. . . . See Attached Floor Plan. Excellent Value . . ."
C4958707,Unit 504 - 35 Brian Peck Cres,Leaside - Toronto,Condo Apt,"$ 798,888","$822,464",2020-10-29,2+1 Bedrooms,2 Bathrooms,2 Garage,"$ 2,978","Condo Apt, Apartment",$723/month,6-10,900-999 feet²,None,water,11 days,17 day(s),2020-10-19,2020-10-29,"$2,734",2.38%,Leslie/Eglinton/Brentcliffe,"Concierge, Exercise Room, Guest Suites, Gym, Indoor Pool",N,Toronto,"Welcome To This Beautiful Centre Unit In Sought After Leaside. 2 Bed + Den, Just Under 1000Sqft, Large Balcony Overlooking Stunning Views Of Sunnybrook Park. Extra Large Storage Locker Located By Your Two Parking Spots Close To Elevator. Walking Distance To Shopping Plaza,Grocery's,Home Depot,Marshall Dept.Store,Cafes And More. Park & Basketball Across The Street,Ttc At Your Doorstep,Quick Access To Dvp/401 & Almost Completed Lrt Eglinton/Crosstown."
C4963074,Unit 1505 - 35 Brian Peck Cres,Leaside - Toronto,Condo Apt,"$ 779,999","$792,147",2020-10-28,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,609","Condo Apt, Apartment",$629/month,6-10,800-899 feet²,None,"water,heat",8 days,14 day(s),2020-10-21,2020-10-28,"$2,500",2.36%,Eglinton B/W Leslie & Laird,"Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Security Guard, Visitor Parking",N,Toronto,"Comfortable, Easy Living! Welcome To The 'Four Season' Suite At 35 Brian Peck Cres. A Generously Proportioned Flat That Flows Effortlessly From Open-Plan Living To Exclusive Balcony O/L Serena Gundy Park! Set Amongst The Finest Private Grounds In Leaside. Extensive Floor To Ceiling Windows & 9 Ft Ceilings! Private Master Oasis: B/I Robe, 3 Pc Ensuite. Chic Kitchen: Granite C/Top, Bevel Bsplash & S/S Frigidaire Appl. North Facing Natural Light All Year Round!"
C4955588,Unit 103 - 600 Eglinton Ave E,Leaside - Toronto,Condo Apt,"$ 499,000","$538,374",2020-10-23,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,931","Condo Apt, Apartment",$688/month,16-30,800-899 feet²,None,water,14 days,20 day(s),2020-10-15,2020-10-23,"$2,125",2.62%,Eglinton East & Bayview,"Gym, Party/Meeting Room",E,Toronto,"Move To Baview/Leaside, Where An Opportunity Awaits! Amazing, Open-Concept Easy-Access Main Floor Condo. Extra Tall Ceiling Height Gives It A Spacious Feel. Located In The Heart Of Lovely Leaside W/ Easy Access To Beautiful Bayview Village. Future Site Of Brand New Lrt Nearby. Hwy/Ttc/Schools & Shops On Your Doorstep! Same-Floor Locker Access. Exercise Room, Outdoor Terrace, Party Room & Library All For Your Enjoyment! Walk Score Of 85, And Bike Score Is 81!"
C4958311,Unit 513 - 160 Vanderhoof Ave,Leaside - Toronto,Condo Apt,"$ 776,900","$788,994",2020-10-27,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,668","Condo Apt, Apartment",$672/month,-,900-999 feet²,None,,13 days,14 day(s),2020-10-17,2020-10-27,"$2,420",2.18%,Laird/Eglinton,,Sw,Toronto,"Excellent Location In Leaside, Close To All Amenities For This Elegant Condo Building. Luxury And Spacious With 2 Split Bdrms, 2 Wr. All Rooms With Floor To Ceiling Windows And Scenic Views Of The Parks And City Skyline. Open Kitchen With An Island, And Open To The Private Balcony. Locker, Parking, Lots Of Condo Amenities, Future Lrt And Dvp. Many Other Amenities And Good Schools Around In The Neighbourhood."
C4953190,Unit 506 - 955 Millwood Rd,Leaside - Toronto,Condo Apt,"$ 819,900","$823,794",2020-10-15,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,144","Condo Apt, Apartment",$890/month,-,1200-1399 feet²,None,"water,hydro,heat",15 days,14 day(s),2020-10-14,2020-10-14,"$2,726",2.14%,Millwood Rd & Bayview Ave,"Bike Storage, Party/Meeting Room, Recreation Room, Sauna, Visitor Parking",Nw,Toronto,"Welcome To Leaside Gates. Spacious Leaside Apartment Rarely Offered! This 2-Bed, 2-Bath Unit With Parking And Storage Is Bright And Open. Building Has Many Amenities, Including Newly Renovated Common Areas Including Party Room With Outdoor Patio, Games Room, Sauna, Workout Facilities, Library And Work Shop. Large Community Of Retirees Enjoying Lots Of Social Activities."
C4946962,Unit 702 - 1801 Bayview Ave,Leaside - Toronto,Condo Apt,"$ 820,000","$793,918",2020-10-12,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,753","Condo Apt, Apartment",$1089/month,-,1000-1199 feet²,None,"water,hydro,heat",21 days,14 day(s),2020-10-08,2020-10-10,"$2,700",1.93%,Bayview & Eglinton,"Exercise Room, Guest Suites, Gym, Recreation Room, Security Guard, Visitor Parking",S,Toronto,"Great Location At Bayview/Eglinton, Ttc At Door Step, Future Eglinton Crosstown Lrt, South Panoramic View To Cn Tower, Spacious Balcony, Convenient Parking Spot To Entrance. Guest Suite, Exercise Room And Party Room. Visitor Parking, Grocery."
