Listing_num,Address,City,House_type,Price,Estimated_price,Estimated_on,Bedroom_num,Washroom_num,Parking_num,Tax,Maintenance,Building_age,Size,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Property_style,Exposure,Description
C4868294,Unit 709 - 1205 Queen St,Trinity-Bellwoods - Toronto,Condo Apt,"$ 538,000","$548,641",As of 2020-08-13,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,601",$363/month,"water,heat",-,2020-08-12,2020-08-12,"$2,458",4.14%,Queen St & Dufferin St,Apartment,S,"Gorgeous Bright & Cozy 1 Bedroom 1 Full Bathrm Penthouse Condo Suite With Great Practical Layout & South Unobstructed View In Luxury Low-Rise Building In High Demand Area! Convenient Sunfield Liv.-Din. Rm. W/ Juilette Balcony, Large Bedroom W/Double Closet, Italian Kitchen W/S-S Appl., Granite Counter, Stone Mosaic Backslash, Under Cabinet Lightning & Island W/Drawers! High 10' Fashionable Exposed Concrete Ceiling! Upgraded Laminate Floor Throughout! Locker!
Dream Queen St. Location! Steps To Ttc, City's Best Restaurants, Cafes, Sopping, Entertainment, Freshco, Banks, 10 Min To Subway! S/S Fridge, Stove, B/I Microwave, B/I Dishwasher. Washer, Dryer. All Eff's. All Window Coverings. Locker:"
C4864425,Unit 206 - 1205 Queen St W,Trinity-Bellwoods - Toronto,Condo Apt,"$ 599,900","$660,357",As of 2020-09-10,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,375",$582/month,Building Age:,-,2020-08-10,2020-09-09,"$2,582",3.08%,Queen St West & Dufferin,Apartment,N,"Sleek Urban 1+1 (Currently Used As Second Bedroom Or Perfect Home Office) 4 Pc Bath With Great Functional Floor Plan. Exposed Concrete Ceilings, Kitchen With Centre Island. Ensuite Laundry With Parking & Bike Storage. Freshly Painted Large Windows. Ideally Located At Queen & Dufferin. Great On-Site Gym, Party Room, Locker T.T.C At Doorstep, Close To All Amenities.
Fridge, Stove, Dishwasher, Over Range Microwave, Washer & Dryer, All Light Fixtures & Window Coverings As Existing."
C4903886,Unit 621 - 901 Queen St W,Trinity-Bellwoods - Toronto,Condo Apt,"$ 734,900","$734,431",As of 2020-09-10,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,388",$510/month,"water,heat",-,2020-09-09,2020-09-10,"$3,080",3.66%,Queen W/Strachan,Loft,W,"**Trinity Park Lofts ** Rarely Available - Overlooking Trinity Bellwoods Park - Bright West Facing 2 Level, 1 Bdrm + Private Balcony! Features Include 9 Ft High Smooth Ceilings, Open Concept Plan & Kitchen W/Bkfst Bar. Great Queen West Locale (Walk Score Of 92) Only Steps To Shops, Restos, Cafes, And Pubs On Funky Queen West! Convenient Access To Both Ttc Streetcar (At Your Door) And Also Just Mins To Gardiner/Qew. 1 U/G Parking + 1 Storage Locker Included.
Stainless Steel (Fridge, Stove, B/I Microwave) D/W, W/D, Window Coverings & Elf's. Also Includes Mirrored Wardrobe Closet In Bdrm."
C4866717,Unit 421 - 901 Queen St W,Trinity-Bellwoods - Toronto,Condo Apt,"$ 760,000","$812,420","<selenium.webdriver.remote.webelement.WebElement (session=""4d5d97ca28e94346919ea8525b97ed83"", element=""f8954489-df64-4c2f-a545-f41de7db8283"")>",1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,729",$603/month,"water,heat",-,2020-08-12,2020-09-11,"$3,080",3.13%,Queen / Strachan,Loft,Nw,"You're Spending More Time Than Ever At Home, Don't You Need A Place That Looks Great, But Also Allows You To Do Everything You Want In Comfort And Style? This Trinity Park Beauty Is The Two-Storey, One-Stop Shop You've Been Waiting For. With 750 Square Feet Of Living Space, Endless Storage, Plus A Balcony Looking Out Over Neighbourhood Rooftops To The Trinity Bellwoods Park Treeline, This Loft Is Spacious And Full Of Character.
Amazing Layout. Custom Shelving, Built In Seating W/Storage, Ss Appliances, Ensuite Laundry, All Elfs, Window Coverings 2nd Flr Tv & Mount Included. Gas Line On Balcony So You Can Bbq. You Also Get A Parking Spot & A Locker!"
C4902337,Unit 514 - 109 Ossington Ave,Trinity-Bellwoods - Toronto,Condo Apt,"$ 649,999","$714,442",As of 2020-09-11,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 3,058",$618/month,"water,heat",-,2020-09-08,2020-09-11,"$2,635",2.78%,Ossington And Queen,Loft,E,"In The Heart Of Ossington! True Boutique Living With Breathtaking Views Of The City. Open Concept With Lots Of Room For Living And Entertaining. Modern And Luxurious Finishes. Built-In S/S Appliances. 10 Foot Floor To Ceiling Windows. Gas Stove And Gas-Line Bbq On Balcony. Steps To Trinity Bellwoods Park. Next Door To The Best Restaurants, Shops, Cafes And Boutiques In The City. Rarely Offered Building! Offers Monday Sept.14.
Premium Parking Spot Close To Locker. B/I Fridge, B/I Dishwasher, B/I Microwave, S/S Gas Stove And Oven. Gas-Line On Balcony. Upgraded Washer And Dryer. All Electric Light Fixtures And Window Treatments."
C4869644,Unit 209 - 1205 Queen St W,Trinity-Bellwoods - Toronto,Condo Apt,"$ 735,000","$742,099",As of 2020-09-02,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,585",$639/month,"water,heat",-,2020-08-10,2020-09-02,"$2,681",2.79%,Queen & Dufferin,Loft,Ne,"Welcome To Q-Lofts! This Rarely Offered 1 Bed + Lg Den Condo In Small Boutique Building In Heart Of Queen West. Exposed Concrete Ceilings, Floor-To-Ceiling Windows, Open Concept Living/Dining. Parking & Locker! The Modern Kitchen Features Quartz Countertops, Stainless Steel Appliances & Kitchen Island W/Lots Of Storage. Perfect For Entertaining. Steps To Drake Hotel, Boutiques, Art Galleries, Restaurants, Cafe's, Ttc, & Grocery Stores.
S/S Fridge, Stove, Kitchen Island & Movable Storage, Dishwasher, Microwave, Stacked Washer & Dryer, Bathroom Mirror & Shelving, Closet Organizers In Den (If Wanted) 1 Owned Parking & 1 Owned Locker And All Elf's"
C4878267,Unit 505 - 45 Dovercourt Rd,Trinity-Bellwoods - Toronto,Condo Apt,"$ 1,275,000","$1,213,213",As of 2020-08-20,2 Bedrooms,2 Bathrooms,1 Garage,$ -,$477/month,"water,heat",New,2020-08-20,2020-08-20,"$3,114",2.52%,Queen West & Dovercourt,2-Storey,N,"Brand New, Never Lived In 2 Storey Penthouse At Cabin Along West Queen West. Premium Finishes Throughout, Including A Custom Eat-In Kitchen With Full Size Appliances, Gas Cooktop, Corian Counters And Marble Backsplash. Two Separate Outdoor Spaces Including Tranquil Rooftop Terrace With Unobstructed Tree-Filled Views. 2 Full Washrooms, Including Spacious Ensuite With Walk-In Shower. Exceptional Finishings Throughout, With The Utmost Attention To Detail.
A Unique Urban Home. Unmatched Location Along Queen West Just Moments To Trinity Bellwoods Park, Ossington Strip, King West, Shopping, Restaurants And Ttc. Parking Included."
C4906757,Unit 507 - 106 Dovercourt Rd,Trinity-Bellwoods - Toronto,Condo Apt,"$ 689,900","$689,390",As of 2020-09-11,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,795",$397/month,"water,heat",0-5,2020-09-09,2020-09-10,"$2,024",2.42%,Queen St W/Dovercourt,Apartment,W,"Beautiful Upgraded Unit In Trendy Neighbourhood. Bright Condo With Balcony Overlooking Great City Views. Gorgeous Upgrade Including Glass Shower, Pot Lights, Remote Control Blinds, Top End Stove & Countertops. Amazing Location! Steps Away From Ttc, Trendy Restaurants, Bars, Parks & Much More.
Built-In Fridge, Stove, Oven, Dishwasher & Microwave, Washer & Dryer, Remote Control Blinds (Worth $4500)"
C4893099,Unit 519 - 106 Dovercourt Rd,Trinity-Bellwoods - Toronto,Condo Apt,"$ 669,900","$734,996",As of 2020-09-01,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,021",$449/month,"water,heat",0-5,2020-09-01,2020-09-01,"$2,157",2.41%,Queen St W/ Dovercourt,Apartment,E,"Bright And Spacious Unit! Well Laid Out With A Large Open Concept Design; Floor To Ceiling Windows Allow For A Lot Of Natural Light! Trendy Boutique Ten93 In Queen West; Many Tasteful Upgrades Including Kitchen With Stone Counter Tops, Upgraded Cabinets, Built-In Appliances, Stunning Bathroom Tiling And Rain Shower; Good Sized Bedroom W/Large Closet; Excellent Location Steps To Ttc, Trendy Restaurants, Shops, Parks And More!
Built-In Fridge, Stove, Oven, Dishwasher, And Microwave; Washer And Dryer; Custom Roller Blinds; 9Ft Smooth Ceilings."
C4817353,Unit 310 - 205 Manning Ave,Trinity-Bellwoods - Toronto,Condo Apt,"$ 1,298,888","$1,279,929",As of 2020-07-04,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,748",$836/month,"water,heat",-,2020-07-04,2020-07-04,"$3,187",1.82%,Dundas St. West & Manning Ave,Apartment,Sw,"Fabulous Nero Condo Corner Unit, Open Concept Two Bedrooms, Two Washrooms, Kitchen With Large Island, In Pristine Condition, Floor To Ceiling Windows, Balcony With Gas Barbeque, Includes One Underground Parking Spot, Storage Locker & Bicycle Storage. Boutique Condo Living In The Heart Of Trinity-Bellwoods
Gas Stove, Oven, Fridge, Microwave/Hoodvent, Dishwasher, Washer & Dryer, Electric Light Fixtures, Except Light Fixture In Second Bedroom, Custom Window Coverings, Gas Barbeque & Patio Furniture In Balcony, Water Filtration System"
