Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4943784,52 O'leary Ave,Oakwood-Vaughan - Toronto,Semi-Detached,"$699,888","$759,757",2020-10-11,"$800,000",2 Bedrooms,2 Bathrooms,0 Garage,"$2,437","Semi-Detached, 2-Storey",,-,1300 feet?? (SigmaEstimate??),"Finished, Sep Entrance",,4 days,12 day(s),2020-10-06,2020-10-11,"$2,262",3.13%,Oakwood & St. Clair,,S,Toronto,"""Ok Google Turn The Fireplace On And Dim The Lights"" This Charming Semi Is Where Smart Home Meets Rustic Chic. Offering Two Bedrooms, Two Bathrooms And Situated In A Family Friendly Area On A Quiet Mews In Oakwood Village. O'learly Ave Is The Condo Alternative You've Been Waiting For. A True Hidden Gem In The Heart Of The City. Close To Future Lrt, Great Restaurants, Boutique Coffee Shops, Parks And Schools."
C4941348,Unit 219 - 18 Beverley St,Kensington-Chinatown - Toronto,Condo Apt,"$624,900",Estimated Date,-,,1 Bedrooms,1 Bathrooms,1 Garage,"$2,250","Condo Apt, Apartment",$615/month,-,600-699 feet??,None,"water,heat",4 days,School,2020-10-05,2020-10-10,Rental Yield,Rental Dom,Queen/Beverley,"Bike Storage, Car Wash, Concierge, Exercise Room, Guest Suites, Party/Meeting Room",S,Toronto,"Newly Renovated 1 Bdrm W/ Parking And Locker! Boasting Largest Private Greenspace Downtown! Modernly Styled, South Facing, Functional Layout! Recently Upgraded: Kitchen W/Quartz Countertops, Undermount Double Sinks, Delta Faucet! Upgraded Bathroom! Freshly Painted Unit! Light Fixtures, Custom Up/Down Window Shades! Minutes To Grange Park, Chinatown, Bus Stops & Shops! Less Than 15 Min Walk To U Of T, Nathan Philip Square, A G O, Hospitals, Cn Tower & More!"
C4923572,Unit 1703 - 170 Sumach St,Regent Park - Toronto,Condo Apt,"$555,000","$585,599",2020-09-29,"$545,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$2,155","Condo Apt, Apartment",$536/month,-,600-699 feet??,Apartment,"water,hydro",18 days,17 day(s),2020-09-21,2020-10-10,"$2,209",2.85%,Dundas And Sumach,"Bike Storage, Concierge, Exercise Room, Gym, Party/Meeting Room, Sauna",S,Toronto,"Welcome To This Rarely Offered South Facing 1 Bedroom + Den At Daniels One Park Place North. Open Concept Layout, Laminate Floors,9Ft Ceilings, Floor To Ceiling Windows, Den Serves As Second Bedroom/Office. Top Notch Building Amenities - 24 Hr Concierge, Rooftop Deck. Steps To Ttc. Close To Shopping, Hwys, Ryerson, Unobstructed Views Of The City/Lake & Cn Tower."
C4922734,Unit 2218 - 25 The Esplanade,Waterfront Communities C8 - Toronto,Condo Apt,,"$705,440",2020-09-22,"$690,500",1+1 Bedrooms,2 Bathrooms,0 Garage,"$2,819","Condo Apt, Apartment",$652/month,16-30,1000-1199 feet??,None,"water,hydro,heat",17 days,18 day(s),2020-09-22,2020-10-10,"$2,159",1.98%,Yonge St / Front St,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",S,Toronto,"Beautiful South Facing, Lake View Unit, A Comfortable 1018 Sq Ft. Space To Be In. Hardwood Floor Throughout, Island Kitchen, Ensuite Storage Closet And Much More. 100 Walk/Transit Score. Steps To Financial Core, Union Station, Underground Path, St. Lawrence Market, Restaurant, Shops, 24Hr Metro. Amenities Include 24 Concierge, Game Room, Gym, Sauna, Bbq's, Party Room, 7 Outdoor Terraces, Rental Parking Available In Bldg. Enjoy City Life At Your Doorstep!"
C4911004,Unit Ph01 - 69 Lynn Williams St,Niagara - Toronto,Condo Apt,"$599,000","$658,573",2020-09-23,"$555,000",1 Bedrooms,2 Bathrooms,1 Garage,"$2,213","Condo Apt, Apartment",$464/month,-,600-699 feet??,None,"water,heat",25 days,14 day(s),2020-09-14,2020-10-09,"$2,242",2.74%,East Liberty/Strachan,"Bbqs Allowed, Exercise Room, Gym, Party/Meeting Room, Recreation Room, Visitor Parking",E,Toronto,"Rarely Offered Breathtaking Ph Unit W/Unobstructed Views Of City Skyline And Cn Tower!10 Ft Ceiling W/Designed Flr To Ceiling Windows. Bright, Spacious,Open Concept W/Elegant Upgraded Finishes.Huge Balcony W/Gas Hookup.Oversized Prking Spot & Locker.Steps From Banks,Grocery Store,Trendy Restaurants,Shopping,Cne,Go,Ttc & More. Very Low Maintenance Fees! Shows Like A Model Suite!"
W4942484,Unit 2609 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$598,900",Estimated Date,-,"$590,000",2 Bedrooms,2 Bathrooms,0 Garage,"$1,919","Condo Apt, Apartment",$400/month,-,600-699 feet??,None,"water,heat",3 days,School,2020-10-05,2020-10-10,Rental Yield,Rental Dom,Dupont & Lansdowne,"Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",Sw,Toronto,"Well Laid Out, Nearly 700 Sq Ft, 2 Bed/2 Bath Condo On 26th Floor! Penthouse-Like Views Of The Entire City And To The Lake From Your Own Private, Gigantic, 130 Sq Ft Balcony. Tons Of Light, Huge Windows, Lots Of Storage Space, Granite Countertop, Electrical Outlets Everywhere, Great Soundproofing Between Units, In A New And Well Maintained Building. Grocery Store, Pharmacy & Lots Of Guest Parking On Main Level. Storage Locker Included With Unit."
W4932230,Unit 304 - 1140 Briar Hill Ave,Briar Hill-Belgravia - Toronto,Condo Apt,"$699,000","$773,279",2020-10-01,"$780,000",2 Bedrooms,2 Bathrooms,1 Garage,"$3,088","Condo Apt, 2-Storey",$395/month,0-5,1000-1199 feet??,None,,9 days,11 day(s),2020-09-29,2020-10-09,"$2,606",2.91%,Dufferin/Briar Hill,"Bbqs Allowed, Party/Meeting Room, Visitor Parking",W,Toronto,"A Modern Townhome Feel With A Hotel-Like Vibe! Located In The Newly Built ""Briar Hill Towns"" Is Where You'll Find This 2 Bedroom, 3 Level Home. 9Ft Ceiling Add To The Spacious And Airy Feel Of Its 1300 Sf. Layout. Designer Picked Upgrades Include Tiles In The Bathroom, Modern Light Fixtures, And Custom Wallpaper. Work From Home In The 3rd-Floor Office Space, Or Unwind After A Long Day On Your Private Terrace!"
C4921099,Unit 902 - 42 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,"$599,900","$611,736",2020-09-25,"$590,300",1 Bedrooms,2 Bathrooms,0 Garage,"$2,621","Condo Apt, Apartment",$347/month,0-5,500-599 feet??,None,"water,heat",17 days,22 day(s),2020-09-21,2020-10-08,"$2,050",2.67%,Yonge/Bloor/Church,"Concierge, Gym, Outdoor Pool, Visitor Parking",Se,Toronto,"Welcome To Casa 2 By Cresford: An Upscale Residence In The Heart Of The City! Bright 1 Bedroom/2 Bathroom Corner Unit Flooded With Natural Light! South East Exposure W/275 Sq.Ft. Wrap Around Balcony, 9 Ft Ceilings, Floor-To-Ceiling Windows, Modern Kitchen And Spacious Bedroom. Walking Distance To U Of T, Ryerson, Fashionable Yorkville, World-Renowned Hotels, Best Restaurants/Cafes And Steps To 2 Subway Lines (Bloor/Yonge). Great For End-User Or Investor."
C4915123,Unit 715 - 700 King St W,Niagara - Toronto,Condo Apt,"$598,000","$653,108",2020-09-28,"$615,000",2 Bedrooms,2 Bathrooms,0 Garage,"$2,147","Condo Apt, Apartment",$550/month,-,800-899 feet??,None,"water,heat",22 days,14 day(s),2020-09-16,2020-10-09,"$2,450",2.99%,King St W / Bathurst St,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",S,Toronto,"Centrally Located In The Heart Of Toronto's King West Neighbourhood Boasting A Walkscore Of 97. South Facing Sun Filled Open Concept Loft. Featuring Soaring 11 Ft Ceilings, Sliding Barn Doors, Laminate Floors & Loads Of Storage Space. Just Minutes To Entertainment District, Queen West, Kensington Market, The Lake Front & The Financial District. Take Advantage Of The Rooftop Terrace W/ 360-Degree Views Of The City That You Won't Want To Miss!"
C4856832,Unit 1012 - 50 Lynn Williams St,Niagara - Toronto,Condo Apt,"$579,000","$604,608",2020-09-29,"$600,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$2,511","Condo Apt, Apartment",$540/month,-,600-699 feet??,None,"water,heat",64 days,14 day(s),2020-08-05,2020-10-09,"$2,075",2.47%,Strachan & East Liberty,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Visitor Parking",Se,Toronto,"Stunning 683 Sf 1 Bed+Den Offers Gleaming Hardwood Floors Throughout, Freshly Painted, New Lighting Fixtures And 2 Entrances To 100+ Sf Patio. Large Bedroom With Walk In Closet And Ensuite Laundry. Very Spacious Living Area And Dining, Large Den/2nd Bedroom. Perfect Central Location, Walk Everywhere With A Dog Park In Front Of Building. You'll Love Spending Your Evenings On The Large Patio In One Of The Most Sought After Areas In Toronto."
