Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
E4942973,"819 Craven Rd, Toronto - Greenwood-Coxwell",Greenwood-Coxwell - Toronto,Semi-Detached,"$ 629,000","$691,149",2020-10-14,"$ 749,000",2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,507","Semi-Detached, 2-Storey",,-,900 feet² (SigmaEstimate®),None,,8 days,11 day(s),2020-10-06,2020-10-14,"$2,576",3.74%,Gerrard & Coxwell,,W,Toronto,"Stylishly Renovated From Top-To-Bottom You Will Love This Sweet Starter Home In One Of The Most Vibrant Neighbourhoods In Toronto's East End. This Place Has All The Bells & Whistles- Including Hardwood Floor Throughout, Heated Floors In The Porch & Bathroom, Cooks Kitchen With Stainless Steel Appliances & Plenty Of Space On Bright Quartz Counter Tops & Breakfast Bar. Tons Of Outdoor Space With Lovely Back Patio & Walk-Out From Master Bedroom."
C4923157,Unit 2901 - 2181 Yonge St E,Mount Pleasant West - Toronto,Condo Apt,"$ 599,800","$630,140",2020-10-15,"$ 602,000",1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,620","Condo Apt, Apartment",$492/month,-,600-699 feet²,None,heat,22 days,17 day(s),2020-09-22,2020-10-14,"$1,990",2.35%,Yonge/Eglinton,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Sauna",Se,Toronto,"Experience Gorgeous Se Views From This Delightful 1 Bedroom, 1 Bathroom Condo At The Heart Of Vibrant Yonge/Eglinton. Perfect Midtown Location Steps To Best Shops, Restaurants & Ttc Subway. Functional ""Zero Waste"" Floor Plan Features 667 Sf In Total Of Bright Elegant Living Space, Floor To Ceiling Windows, Enjoy A Cocktail On Your Open Balcony Or Countless Great Restaurants And Bars In The Vibrant Yonge And Eg Area. It Has Well Appointed Gym And Indoor Pool."
C4918914,Unit 2201 - 1 Scott St,Waterfront Communities C8 - Toronto,Condo Apt,"$ 699,000","$663,994",2020-10-14,"$ 645,000",1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,465","Condo Apt, Apartment",$379/month,-,600-699 feet²,None,"water,heat",26 days,19 day(s),2020-09-18,2020-10-14,"$2,000",2.36%,Yonge And Front,"Concierge, Exercise Room, Games Room, Guest Suites, Outdoor Pool, Party/Meeting Room",E,Toronto,"When Viewing This Property On Realtor.Ca Please Click On The 'Multimedia' Link Below For More Property Info. Fantastic Views, Designer Finishes, A Custom Built In Storage And Work Unit That Is Completely Unique, This Is A Stellar Property In A Great Downtown Location. The Unit Has Unobstructed, East Exposure."
C4918433,Unit 1610 - 65 East Liberty St,Niagara - Toronto,Condo Apt,"$ 649,000","$636,359",2020-10-14,"$ 610,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,093","Condo Apt, Apartment",$406/month,6-10,600-699 feet²,None,"water,heat",27 days,14 day(s),2020-09-17,2020-10-14,"$2,077",2.64%,East Liberty & Strachan,"Bbqs Allowed, Concierge, Guest Suites, Gym, Indoor Pool",W,Toronto,"Welcome To 65 East Liberty. A World In Itself With The Amenities To Prove It. From Its Indoor Pool, Sauna And Gym, To A Yoga Studio, Billiards Room And Bowling Alley - This Building Has It All. And If You Decide To Venture Out, You're Only Steps Away From The Best Of King West Retail And Dining, And Just A Few Blocks From Trinity Bellwoods And Everything That Makes The Lakeshore Great, Which Btw Includes Sunsets From Your West-Facing View Over Lake Ontario."
C4905550,Unit 3201 - 8 Park Rd,Rosedale-Moore Park - Toronto,Condo Apt,"$ 699,900","$658,333",2020-10-14,"$ 620,000",2 Bedrooms,2 Bathrooms,0 Garage,"$ 2,717","Condo Apt, Apartment",$655/month,16-30,700-799 feet²,None,"water,hydro,heat",34 days,21 day(s),2020-09-10,2020-10-14,"$3,129",3.52%,Yonge & Bloor,"Concierge, Gym, Media Room, Party/Meeting Room, Security Guard",W,Toronto,"Great Opportunity To Own A Thoughtfully Laid Out 2 Bedroom, 2 Bathroom Condo In The Heart Of Downtown! High-End Laminate Hardwood Throughout, Open Concept Main Living Space With Full Sized Kitchen And Breakfast Bar. Large Master With Ensuite Bathroom, And Flex Second Bedroom With Murphy Bed, Easily Converts To Functional Work-From-Home Office. Enjoy Every Convenience Toronto Has To Offer At One Of The City's Most Sought After Intersections."
C4894306,Unit 2419 - 1001 Bay St,Bay Street Corridor - Toronto,Condo Apt,"$ 638,800","$674,190",2020-10-14,"$ 650,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,230","Condo Apt, Apartment",$501/month,-,700-799 feet²,None,,43 days,21 day(s),2020-09-01,2020-10-14,"$2,051",2.25%,Bay & Wellesley,"Concierge, Exercise Room, Guest Suites, Indoor Pool, Party/Meeting Room, Sauna",Nw,Toronto,"Spectacular Open Concept Suite, Over $20K In Upgrades In 2019 Include Appl's & Furnace (2019), Hdwd Flrs & Prof Designer Painted Suite W/Faux Finish. Unobstructed, Stunning Sunset Views. N/W & S/W Exposures. Steps To Yorkville,U.Of T.,Subway, Theatres & Restaurants. Lots Of Visitor Parking"
E4945471,11 Eastdale Ave,Crescent Town - Toronto,Detached,"$ 699,900","$758,069",2020-10-14,"$ 808,000",2+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,555","Detached, Bungalow",,-,900 feet² (SigmaEstimate®),"Finished, Full",,6 days,9 day(s),2020-10-07,2020-10-13,"$1,909",2.58%,Danforth & Main,,E,Toronto,"Absolutely Stunning & Fully Renovated With Modern Finishes Walking Distance To Danforth & Main Ttc. Be Amazed The Moment You Walk In With Hardwood Floors Throughout Feat. 2+1Br & 2Full Baths + Huge Loft. Gorgeous 2-Tone Kitchen With Quartz Counters & New Appliances. Full Height Underpinned Basement W/Additional Br + Full Bath, Rec/Play Room & Laundry. Long Private Driveway. Awesome Location Close To Danforth Village."
C4945288,Unit 10 - 350 Gerrard St E,Cabbagetown-South St. James Town - Toronto,Condo Townhouse,"$ 699,900","$718,868",2020-10-14,"$ 746,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,717","Condo Townhouse, 2-Storey",$885/month,-,1200-1399 feet²,"Finished, Full","water,hydro",6 days,17 day(s),2020-10-07,2020-10-14,"$2,530",2.16%,Gerrard & Parliament,,W,Toronto,"Over 1530Sf Of Total Living Space + 460Sf Of Private Patio Oasis In Dynamic Historic Cabbagetown! A Rare Opportunity At This Price Point. This Boutique Condo Is Bright And Spacious W/Three Floors Of Fabulous Living. Engineered Bamboo Flooring, Very Large Mstr Bdrm With A Skylight & Sitting Area, 2nd Skylight Adds Even More Natural Light, Wood Burning Fireplace, Nest Thermostat. 6 Visitor Parking Spots!! Steps To Shops, Transit, Parks. Click Virtual Tour!"
C4942114,Unit 12 - 98 Redpath Ave,Mount Pleasant East - Toronto,Condo Townhouse,"$ 699,000","$735,127",2020-10-14,"$ 760,000",2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,178","Condo Townhouse, Stacked Townhse",$664/month,-,1000-1199 feet²,None,water,7 days,20 day(s),2020-10-06,2020-10-14,"$2,761",2.7%,Yonge & Eglinton,"Bike Storage, Car Wash, Rooftop Deck/Garden, Security Guard, Visitor Parking",E,Toronto,"Stunning And Bright 2 Bedroom Townhouse In Prime Location Of Yonge And Eglinton. Steps Away From Restaurants, Coffee Shops, Gyms, Movie Theatre, Shops, Loblaws, Lcbo, And Subway Station. This Gorgeous Townhome Has A Private Rooftop Terrace, Terrace Flooring, Granite Counter Kit & Main Bath, New Glass Kit. Backsplash And Valance Lighting, New Pot Lights, Track Lighting."
C4919768,Unit 2902 - 28 Wellesley St E,Church-Yonge Corridor - Toronto,Condo Apt,"$ 699,000","$701,252",2020-10-15,"$ 730,000",2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,393","Condo Apt, Apartment",$477/month,0-5,600-699 feet²,None,"water,heat",25 days,23 day(s),2020-09-18,2020-10-14,"$2,516",2.98%,Yonge & Wellesley,"Concierge, Exercise Room, Party/Meeting Room",Sw,Toronto,"2 Yrs Old Stunning Corner 2 Bedroom Unit With Large Balcony* Bright & Spacious Practical Layout *9Ft Smooth Ceiling * Floor To Ceiling Windows * Beautiful South West City View* Lots Of Upgrades * Next To Ttc Subway, Universities, Yonge Street Shops & Restaurants And More..."
