Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
W4925110,Unit 2609 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 589,000","$618,849",2020-09-23,,2 Bedrooms,2 Bathrooms,0 Garage,"$ 1,919","Condo Apt, Apartment",$400/month,-,600-699 feet²,Apartment,"water,heat",7 days,11 day(s),2020-09-23,2020-09-23,"$2,562",3.73%,Dupont & Lansdowne,"Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",Sw,Toronto,"Well Laid Out, Compact But Spacious 2 Bed 2 Bath Condo On 26th Floor At Dupont And Lansdowne! Excellent View Of The Entire City And To The Lake From Your Own Private Gigantic Balcony. Tons Of Light, Huge Windows, Lots Of Storage Space, Granite Countertop, Electrical Outlets Everywhere, Amazing Water Pressure, Great Soundproofing Between Units, In A Very New And Well Maintained Building. Grocery Store And Pharmacy On Main Level. Storage Unit Included."
W4922403,Unit 1310 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 499,000","$546,696",2020-09-22,,2 Bedrooms,1 Bathrooms,0 Garage,"$ 1,661","Condo Apt, Apartment",$342/month,0-5,600-699 feet²,None,"water,heat",8 days,11 day(s),2020-09-22,2020-09-22,"$2,121",3.46%,Lansdowne And Dupont,"Gym, Rooftop Deck/Garden, Security Guard, Visitor Parking",Se,Toronto,"This Functional 603Sf Unit Is Perfect For Those Looking For A 2 Bdrm On Without The 2 Bdrm $. Features Large Windows W/ Upgraded Marble Window Sills & A Glass Sliding Door W/O To A Bright & Spacious Balcony W/ Beautiful Panoramic Views Of The Downtown Toronto Skyline. It Has Been Freshly Painted, & Tastefully Updated With Beautiful Hardwood Flooring Throughout, Stylish & Convenient Built-Ins, Designer Faucets, Modern Light Fixtures And More!"
W4929183,Unit 807 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 468,800","$511,539",2020-09-27,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,619","Condo Apt, Apartment",$367/month,0-5,500-599 feet²,None,"water,heat",5 days,12 day(s),2020-09-25,2020-09-27,"$1,950",3.24%,Dupont & Lansdowne,"Exercise Room, Games Room, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",W,Toronto,"Immaculately Maintained Condo Suite With An Easy Layout To Furnish. This Unit Is Not Only Fully Turn Key And Stylish, But It Also Has The Benefit Of Being Located Adjacent To A Supermarket And A Pharmacy, Both Of Which You Need Not Go Outside In Order To Access. A Versatile 1-Bedroom And A Perfect Fit For A First Time Home Buyer. Add To This That It Is Only A 10 Minute Walk To Bloor Subway Station! Low Maintenance Fee's And Free Visitor Parking Are A Plus!"
W4905781,Unit 316 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 519,900","$562,670",2020-09-28,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 1,619","Condo Apt, Apartment",$361/month,0-5,500-599 feet²,None,"water,heat",20 days,12 day(s),2020-09-10,2020-09-28,"$2,050",3.17%,Lansdowne & Dupont,"Exercise Room, Party/Meeting Room, Security System, Visitor Parking",Ne,Toronto,"Bright 2 Bedroom Corner Unit At The Fuse Condo Phase 2, Renovated Gourmet Kitchen, Centre Island, Granite Counters, Stainless Steel Full Size Appliances, Ensuite Laundry, Amenities: Concierge, Exercise Rm, Party Rm, Theatre, Visitor Parking, Located In One Of Toronto's Newest Neighbourhood Davenport Village. Steps To Ttc & Up Express, Shoppers, 24/Hr Food Basics, On Site & Balzac's Coffee Shop. 1 Rental Parking Space Available."
W4930972,Unit 623 - 816 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 669,900","$711,282",2020-09-29,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,309","Condo Apt, Apartment",$519/month,-,800-899 feet²,None,"water,heat",2 days,12 day(s),2020-09-28,2020-09-29,"$2,569",2.99%,Lansdowne & Dupont,,N,Toronto,"Bright, Spacious And O So Gracious. Welcome To This Beautiful Unique Split Layout 2 Bed 2 Bath Corner Suite In The Active And Vibrant Junction Triangle & Davenport Village. Upgrades; Laminate Flooring (19), Popcorn Ceiling Removed (19), Light Fixtures (19), Paint (19), Island Removed (19). Booming Area With Easy Access To Transit, Parks, Shopping. Great Amenities With Low Maintenance Fees. 1 Parking, 1 Locker. 855 Sqft. Don't Miss This Unique Opportunity."
W4827872,Unit 421 - 816 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 519,900","$554,709",2020-07-13,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,566","Condo Apt, Apartment",$309/month,6-10,600-699 feet²,None,"water,heat",83 days,20 day(s),2020-07-09,2020-07-13,"$1,850",2.83%,Lansdowne And Dupont,"Bike Storage, Exercise Room, Games Room, Gym, Party/Meeting Room, Visitor Parking",W,Toronto,"Beautiful 1 Bd+Den In Trendy Davenport Village. Open Concept Unit Features Picturesque Sunsets From Lg West Facing Balcony. Kitchen Features Granite Counters And S/S Appliances. Plenty Of Storage In Unit. Ttc At Your Doorstep, Go And Up Exp Within A Few Minutes Walk. Pet Friendly Building. Current Month To Month Tenants Would Love To Stay."
W4920971,Unit 218 - 812 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 515,000","$550,297",2020-09-21,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,667","Condo Apt, Apartment",$366/month,-,600-699 feet²,None,hydro,9 days,11 day(s),2020-09-21,2020-09-21,"$1,884",2.88%,Dupont / Lansdowne,"Gym, Party/Meeting Room, Visitor Parking",N,Toronto,"Amazing Opportunity To Own In One Of Toronto's Trendiest Neighborhoods Of Wallace-Emerson-Junction. The Unit Is A Spacious 646 Sq.Ft. (Not Including Balcony). This Unit Is A Modern 1-Bed+Den With Upgraded Kitchen. You Have Some Of The Cities Most Popular Restaurant And It Is A Foodie Lovers Paradise. Steps To The Junction, High Park, Landsdowne Subway, Shops, Restaurants, Parks, Groceries, And Fitness Centres."
W4922679,Unit 507 - 812 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 490,000","$544,884",2020-09-29,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,559","Condo Apt, Apartment",$323/month,-,500-599 feet²,None,"water,heat",8 days,12 day(s),2020-09-22,2020-09-28,"$1,805",2.85%,Dupont & Lansdowne,"Gym, Party/Meeting Room, Visitor Parking",Sw,Toronto,"Amazing 1-Bdm, 1-Bth Condo At Dupont & Lansdowne. Modern Kitchen W/ Granite Counters, Tile Flooring, S/S Appliances, Double Sink, & Big Kitchen Island W/ Tons Of Storage. Bright Bedroom W/ Double Closet & Large Window For Plenty Of Natural Light. Functional Layout. Amazing City, Park, & Skyline Views From Your Balcony Right Off The Living Area. Steps To The Junction, High Park, Lansdowne Subway, Shops, Restaurants, Parks, Groceries, & Fitness Centres."
W4925053,Unit 407 - 1375 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 669,000","$696,250",2020-09-23,,1+1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,015","Condo Apt, Loft",$653/month,-,800-899 feet²,None,"water,heat",7 days,11 day(s),2020-09-23,2020-09-23,"$2,513",2.78%,Dupont And Lansdowne,"Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",Nw,Toronto,"Welcome To The Chelsea Lofts. This Bright Spacious 860 Sq.Ft Corner Loft - Originally A 2 Bedroom- Offers Open Concept Living, 9' Exposed Concrete Ceilings & Floor To Ceiling Windows. The Mid Rise Boutique Building Features A Large Party Room, Rooftop Deck With Community Garden & Visitor Parking. Located At The Entry Of The Junction Triangle, You Have Shopping Across The Street & Restaurants, Parks, Ttc & Up Express A Short Stroll Away."
W4900763,Unit 508 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 549,900","$593,962",2020-09-19,,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 1,731","Condo Apt, Apartment",$387/month,-,600-699 feet²,None,"water,heat",23 days,12 day(s),2020-09-07,2020-09-18,"$1,950",2.74%,Dupont And Lansdowne,"Bike Storage, Exercise Room, Games Room, Gym, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"Live In The Trendy Junction Area At Fuse 2. Bright 1 Bedroom + Den + 2 Full Washrooms + Balcony! Well Designed Functional Layout. Den Can Be Used As A 2nd Bedroom. Condo Features And Open Concept Modern Kitchen W/ Granite Counters, Stainless Steel Appliances And Ensuite Laundry.? Only 10 Min. Walk To Lansdowne Subway Station And Up Express. Shoppers Drug Mart And Food Basics Downstairs!"
