Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4912956,Unit 706 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 589,000","$634,400",2020-10-12,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,441","Condo Apt, Apartment",$550/month,-,500-599 feet²,None,"water,heat",27 days,15 day(s),2020-09-15,2020-10-08,"$2,209",2.58%,Bathurst&Eglinton,"Concierge, Exercise Room, Guest Suites, Gym, Party/Meeting Room, Visitor Parking",N,Toronto,"Welcome To Upper Forest Hill! Functional Loft Style 1 Bed(W Parking). Boutique Luxury Building ""The Hill"" Is Steps From The Lrt, Eglinton W Subway, &Allen Rd/Hwy 401. Open Concept Unit,Bright&Airy. Wall-To-Wall/Floor-To-Ceiling Windows. 9' Ceilings. Eat-In Kitchen W S/S Appliances&Quartz Countertop&Backsplash. Stunning Master W Glass Doors. 3 Pc Bath W Glass Shower. Balcony W City Views. Foyer W Lrg Closet&Separate Laundry Closet. Not An Inch Of Wasted Space!"
C4943753,29B Claxton Blvd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 899,000","$925,172",2020-10-11,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,468","Condo Apt, 2-Storey",$275/month,-,1600-1799 feet²,Full,,6 days,15 day(s),2020-10-06,2020-10-10,"$2,629",2.43%,Bathurst/St Clair,,S,Toronto,"Rarely Offered 2 Storey Condo With A Basement! 2 Unique Sep Living Spaces Which Can Be Gyms, Storage, Etc. Coveted Cedarvale. Bldg Has Only 4 Suites In Total & Each Has Their Own Separate Entrance. Enjoy The Luxury Of 4 Owner Management. Open Concept Lr/Dr. Large Kitchen And Family Size Dining Room Seating Many! Massive Master Bedrm With Walk-Out To Balcony. 2 Skylights, Pot Lights, Detached Garage. 1618 Sq.Ft. + 883 Sq.Ft. (Bsmt) = 2,501 Sq.Ft. Total"
C4925396,27B Claxton Blvd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 999,000","$1,027,449",2020-10-10,,3 Bedrooms,2 Bathrooms,1 Garage,"$ 4,468","Condo Apt, 2-Storey",$265/month,-,1600-1799 feet²,None,,19 days,15 day(s),2020-09-23,2020-10-05,"$2,691",2.27%,Bathurst And St. Clair,,S,Toronto,"Great Alternative To High Rise Living In This One Of A Kind Executive1,621 Sq Ft Bi-Level Condo In Unique Georgian Style Property W/Only 3 Other Suites. Modern, Open Concept W/Soaring Ceilings & Skylite, Reno'd Kit W/Breakfast Bar, Heated Floors, Loft Style Fam Room, Massive Master W/Wall Of Clsts, Steps To Cedarvale Ravine, Heath Subway, Forest Hill Village & Shops On St Clair, Cedarvale School Area. Perfect For Empty Nester, Single Or Professional Couple."
C4940323,Unit 802 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 1,099,000","$1,157,954",2020-10-10,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,438","Condo Apt, Apartment",$850/month,0-5,800-899 feet²,None,"water,heat",7 days,15 day(s),2020-10-05,2020-10-06,"$2,629",1.35%,Bathurst & Eglinton,"Bbqs Allowed, Concierge, Exercise Room, Guest Suites, Visitor Parking",S,Toronto,"Top Floor At The Hill - Fabulous Condo At Bathurst & Eglinton. 826 Sq.Ft. - 2 Bedroom, 2 Full Spa-Like Baths. Walk Out To The 496 Sq. Ft. South Facing Terrace With Stunning Views And A Natural Gas Bbq Line. Bright And Beautiful!! 9 Ft. Floor To Ceiling, Wall To Wall Windows. Steps To Shops, Restaurants And Transit. All The Fabulous Amenities You Would Expect. Concierge, Gym. Party Room, Guest Suites & Visitor Parking."
C4796356,Unit 402 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 979,000","$989,159",2020-10-09,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,200","Condo Apt, Apartment",$981/month,New,900-999 feet²,None,"water,heat",117 days,15 day(s),2020-06-17,2020-10-02,"$2,348",1.22%,Bathurst & Eglinton,"Concierge, Exercise Room, Guest Suites, Gym, Party/Meeting Room, Visitor Parking",S,Toronto,"Nestled In One Of The Most Prestigious Locations In The City You New Home Awaits In This Luxury Condo At ""The Hill"" In Upper Forest Hill Village. This Split Open Concept, 2 Bdr, 2 Bathroom Includes Master En-Suite, W/I Closet, In-Suite Laundry, Floor To Ceiling Windows, ,. Huge 392 Sq/Ft Terrace Overlooking All The Best The City Has To Offer. Steps To Some Of The Trendiest Shops, Restaurants, Subway, Future Lrt And Lots More!"
C4948741,Unit 507 - 170 Chiltern Hill Rd,Humewood-Cedarvale - Toronto,Condo Apt,"$ 499,000",Estimated Date,-,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,224","Condo Apt, Apartment",$450/month,-,500-599 feet²,None,"water,heat",3 days,School,2020-10-09,2020-10-09,Rental Yield,Rental Dom,Bathurst & Eglinton,,N,Toronto,"Welcome To The Hill. Situated On The Border Of Forest Hill & Cedarvale. This Suite Is In A Perfect Location. No Space Is Wasted In This Well Laid Out Space. Beautiful High-End Finishes W/A Private Large Balcony. Subway, Parks, Restaurants, Convenient Stores Are At Your Door Step."
C4895915,Unit 1504 - 1486 Bathurst St,Humewood-Cedarvale - Toronto,Condo Apt,"$ 849,000","$911,050",2020-09-04,,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,993","Condo Apt, Apartment",$716/month,New,900-999 feet²,None,water,40 days,12 day(s),2020-09-02,2020-09-04,"$3,192",2.68%,Bathurst And St. Clair,"Bike Storage, Concierge, Gym, Party/Meeting Room",Se,Toronto,At The Heart Of Bathurst And St. Clair Lives A Suite With A New Look And A New Unbeatable Price That Is Perfect For The Work From Home Lifestyle. The 927 Sq. Ft. 2 Bedroom + 2 Bath + Den Unit Provides Ample Space For An Uninterrupted Zoom Call. This Suite Comes Complete With 2 Balconies That Together Make Out To Be 137 Sq. Ft. Steps Away From The Ttc And All Things Necessary For Proper City Living. Views Of The Lush Wells Hill Park And The Cn Tower.
C4945745,Unit 407 - 35 Raglan Ave,Humewood-Cedarvale - Toronto,Condo Apt,"$ 589,900","$588,981",2020-10-12,,2 Bedrooms,1 Bathrooms,0 Garage,"$ 2,069","Condo Apt, Apartment",$639/month,-,800-899 feet²,None,"water,hydro,heat",4 days,15 day(s),2020-10-08,2020-10-08,"$2,110",2.47%,St Clair / Bathurst,,S,Toronto,"Wonderful New York Style Brownstone Walk-Up Building. Sunny, Reno'd + Glorious! Fall In Love With This Inviting Home. Family Friendly, Fabulous Neighbourhood With Wonderful Amenities Just Steps From Your Front Door. A Few Minutes Walk To Subway/Loblaws, St Clair Streetcar + Bathurst Bus, Shoppers, Local Cafes, Wychwood Barns, Starbucks, Forest Hill Village,Humewood Community + Holy Rosary Schools, No Elevator, Sorry No Dogs Allowed. Staged Virtually."
C4797818,Unit 601 - 530 St Clair Ave W,Humewood-Cedarvale - Toronto,Condo Apt,"$ 670,000","$679,172",2020-07-14,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,453","Condo Apt, Apartment",$590/month,6-10,700-799 feet²,None,"water,heat",116 days,20 day(s),2020-06-18,2020-07-12,"$2,158",2.2%,St Clair / Bathurst,"Concierge, Games Room, Gym, Media Room, Party/Meeting Room, Sauna",W,Toronto,"Prime Location, Boutique Condo Building Located At Prestigious St Clair & Bathurst Neighborhood, Immaculate And Sun Filled 1 Bed + Den Unit With Spectacular West View, 734 Sf + 100 Sf Balcony, Spacious Layout With Contemporary Finishes, 9' Ceilings, Excellent Amenities Incl Gym, Sauna, Spa, Game Room, Media Room, Party Room, Outdoor Terrace & 24 Hr Concierge, Steps To Subway, Restaurants, Shops And Close To St Michael's College School & Upper Canada College."
C4918468,Unit 1602 - 500 St Clair Ave W,Humewood-Cedarvale - Toronto,Condo Apt,"$ 655,000","$585,265",2020-09-18,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,210","Condo Apt, Apartment",$533/month,6-10,600-699 feet²,Apartment,"water,heat",24 days,13 day(s),2020-09-18,2020-09-18,"$1,682",1.85%,St. Clair W And Bathurst,"Bike Storage, Concierge, Exercise Room, Gym, Sauna, Visitor Parking",Sw,Toronto,Rarely Available And Perfectly Laid Out 1Bedroom Sw Facing Suite Overlooking The Wychwood Neighbourhood. Bright And Spacious Unit With Large Double Entrance Balcony. Open Concept Floor Plan W/ Designer Upgrades Throughout. Large Bedroom Easily Accommodates A King-Size Bed With Ample Closet Space. Modern Kitchen With Upgraded Large & Stainless Steel Appliances. Beautiful View Of Downtown Toronto And Lake Ontario.
