Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4943784,52 O'leary Ave,Oakwood-Vaughan - Toronto,Semi-Detached,699888.0,759757.0,2020-10-11,800000.0,2,2,0,2437.0,"Semi-Detached, 2-Storey",,,1300 feet?? (SigmaEstimate??),"Finished, Sep Entrance",,4,12.0,2020-10-06,2020-10-11,2262.0,3.13,Oakwood & St. Clair,,S,Toronto,"""Ok Google Turn The Fireplace On And Dim The Lights"" This Charming Semi Is Where Smart Home Meets Rustic Chic. Offering Two Bedrooms, Two Bathrooms And Situated In A Family Friendly Area On A Quiet Mews In Oakwood Village. O'learly Ave Is The Condo Alternative You've Been Waiting For. A True Hidden Gem In The Heart Of The City. Close To Future Lrt, Great Restaurants, Boutique Coffee Shops, Parks And Schools."
C4941348,Unit 219 - 18 Beverley St,Kensington-Chinatown - Toronto,Condo Apt,624900.0,,,,1,1,1,2250.0,"Condo Apt, Apartment",615.0,,600-699 feet??,,"water,heat",4,,2020-10-05,2020-10-10,,,Queen & Beverley,"Bike Storage, Car Wash, Concierge, Exercise Room, Guest Suites, Party/Meeting Room",S,Toronto,"Newly Renovated 1 Bdrm W/ Parking And Locker! Boasting Largest Private Greenspace Downtown! Modernly Styled, South Facing, Functional Layout! Recently Upgraded: Kitchen W/Quartz Countertops, Undermount Double Sinks, Delta Faucet! Upgraded Bathroom! Freshly Painted Unit! Light Fixtures, Custom Up/Down Window Shades! Minutes To Grange Park, Chinatown, Bus Stops & Shops! Less Than 15 Min Walk To U Of T, Nathan Philip Square, A G O, Hospitals, Cn Tower & More!"
C4923572,Unit 1703 - 170 Sumach St,Regent Park - Toronto,Condo Apt,555000.0,585599.0,2020-09-29,545000.0,1+1,1,1,2155.0,"Condo Apt, Apartment",536.0,,600-699 feet??,Apartment,"water,hydro",18,17.0,2020-09-21,2020-10-10,2209.0,2.85,Dundas & Sumach,"Bike Storage, Concierge, Exercise Room, Gym, Party/Meeting Room, Sauna",S,Toronto,"Welcome To This Rarely Offered South Facing 1 Bedroom + Den At Daniels One Park Place North. Open Concept Layout, Laminate Floors,9Ft Ceilings, Floor To Ceiling Windows, Den Serves As Second Bedroom/Office. Top Notch Building Amenities - 24 Hr Concierge, Rooftop Deck. Steps To Ttc. Close To Shopping, Hwys, Ryerson, Unobstructed Views Of The City/Lake & Cn Tower."
C4922734,Unit 2218 - 25 The Esplanade,Waterfront Communities C8 - Toronto,Condo Apt,,705440.0,2020-09-22,690500.0,1+1,2,0,2819.0,"Condo Apt, Apartment",652.0,16-30,1000-1199 feet??,,"water,hydro,heat",17,18.0,2020-09-22,2020-10-10,2159.0,1.98,Yonge St & Front St,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden",S,Toronto,"Beautiful South Facing, Lake View Unit, A Comfortable 1018 Sq Ft. Space To Be In. Hardwood Floor Throughout, Island Kitchen, Ensuite Storage Closet And Much More. 100 Walk/Transit Score. Steps To Financial Core, Union Station, Underground Path, St. Lawrence Market, Restaurant, Shops, 24Hr Metro. Amenities Include 24 Concierge, Game Room, Gym, Sauna, Bbq's, Party Room, 7 Outdoor Terraces, Rental Parking Available In Bldg. Enjoy City Life At Your Doorstep!"
C4911004,Unit Ph01 - 69 Lynn Williams St,Niagara - Toronto,Condo Apt,599000.0,658573.0,2020-09-23,555000.0,1,2,1,2213.0,"Condo Apt, Apartment",464.0,,600-699 feet??,,"water,heat",25,14.0,2020-09-14,2020-10-09,2242.0,2.74,East Liberty & Strachan,"Bbqs Allowed, Exercise Room, Gym, Party/Meeting Room, Recreation Room, Visitor Parking",E,Toronto,"Rarely Offered Breathtaking Ph Unit W/Unobstructed Views Of City Skyline And Cn Tower!10 Ft Ceiling W/Designed Flr To Ceiling Windows. Bright, Spacious,Open Concept W/Elegant Upgraded Finishes.Huge Balcony W/Gas Hookup.Oversized Prking Spot & Locker.Steps From Banks,Grocery Store,Trendy Restaurants,Shopping,Cne,Go,Ttc & More. Very Low Maintenance Fees! Shows Like A Model Suite!"
W4942484,Unit 2609 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,598900.0,,,590000.0,2,2,0,1919.0,"Condo Apt, Apartment",400.0,,600-699 feet??,,"water,heat",3,,2020-10-05,2020-10-10,,,Dupont & Lansdowne,"Gym, Media Room, Party/Meeting Room, Rooftop Deck/Garden, Security Guard, Visitor Parking",SW,Toronto,"Well Laid Out, Nearly 700 Sq Ft, 2 Bed/2 Bath Condo On 26th Floor! Penthouse-Like Views Of The Entire City And To The Lake From Your Own Private, Gigantic, 130 Sq Ft Balcony. Tons Of Light, Huge Windows, Lots Of Storage Space, Granite Countertop, Electrical Outlets Everywhere, Great Soundproofing Between Units, In A New And Well Maintained Building. Grocery Store, Pharmacy & Lots Of Guest Parking On Main Level. Storage Locker Included With Unit."
W4932230,Unit 304 - 1140 Briar Hill Ave,Briar Hill-Belgravia - Toronto,Condo Apt,699000.0,773279.0,2020-10-01,780000.0,2,2,1,3088.0,"Condo Apt, 2-Storey",395.0,0-5,1000-1199 feet??,,,9,11.0,2020-09-29,2020-10-09,2606.0,2.91,Dufferin & Briar Hill,"Bbqs Allowed, Party/Meeting Room, Visitor Parking",W,Toronto,"A Modern Townhome Feel With A Hotel-Like Vibe! Located In The Newly Built ""Briar Hill Towns"" Is Where You'll Find This 2 Bedroom, 3 Level Home. 9Ft Ceiling Add To The Spacious And Airy Feel Of Its 1300 Sf. Layout. Designer Picked Upgrades Include Tiles In The Bathroom, Modern Light Fixtures, And Custom Wallpaper. Work From Home In The 3rd-Floor Office Space, Or Unwind After A Long Day On Your Private Terrace!"
C4921099,Unit 902 - 42 Charles St E,Church-Yonge Corridor - Toronto,Condo Apt,599900.0,611736.0,2020-09-25,590300.0,1,2,0,2621.0,"Condo Apt, Apartment",347.0,0-5,500-599 feet??,,"water,heat",17,22.0,2020-09-21,2020-10-08,2050.0,2.67,Yonge & Bloor & Church,"Concierge, Gym, Outdoor Pool, Visitor Parking",SE,Toronto,"Welcome To Casa 2 By Cresford: An Upscale Residence In The Heart Of The City! Bright 1 Bedroom/2 Bathroom Corner Unit Flooded With Natural Light! South East Exposure W/275 Sq.Ft. Wrap Around Balcony, 9 Ft Ceilings, Floor-To-Ceiling Windows, Modern Kitchen And Spacious Bedroom. Walking Distance To U Of T, Ryerson, Fashionable Yorkville, World-Renowned Hotels, Best Restaurants/Cafes And Steps To 2 Subway Lines (Bloor/Yonge). Great For End-User Or Investor."
C4915123,Unit 715 - 700 King St W,Niagara - Toronto,Condo Apt,598000.0,653108.0,2020-09-28,615000.0,2,2,0,2147.0,"Condo Apt, Apartment",550.0,,800-899 feet??,,"water,heat",22,14.0,2020-09-16,2020-10-09,2450.0,2.99,King St W & Bathurst St,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",S,Toronto,"Centrally Located In The Heart Of Toronto's King West Neighbourhood Boasting A Walkscore Of 97. South Facing Sun Filled Open Concept Loft. Featuring Soaring 11 Ft Ceilings, Sliding Barn Doors, Laminate Floors & Loads Of Storage Space. Just Minutes To Entertainment District, Queen West, Kensington Market, The Lake Front & The Financial District. Take Advantage Of The Rooftop Terrace W/ 360-Degree Views Of The City That You Won't Want To Miss!"
C4856832,Unit 1012 - 50 Lynn Williams St,Niagara - Toronto,Condo Apt,579000.0,604608.0,2020-09-29,600000.0,1+1,1,1,2511.0,"Condo Apt, Apartment",540.0,,600-699 feet??,,"water,heat",64,14.0,2020-08-05,2020-10-09,2075.0,2.47,Strachan & East Liberty,"Concierge, Guest Suites, Gym, Indoor Pool, Party/Meeting Room, Visitor Parking",SE,Toronto,"Stunning 683 Sf 1 Bed+Den Offers Gleaming Hardwood Floors Throughout, Freshly Painted, New Lighting Fixtures And 2 Entrances To 100+ Sf Patio. Large Bedroom With Walk In Closet And Ensuite Laundry. Very Spacious Living Area And Dining, Large Den/2nd Bedroom. Perfect Central Location, Walk Everywhere With A Dog Park In Front Of Building. You'll Love Spending Your Evenings On The Large Patio In One Of The Most Sought After Areas In Toronto."
E4933984,Unit 304 - 1238 Dundas St E,South Riverdale - Toronto,Condo Apt,599000.0,653768.0,2020-09-30,635000.0,2,2,1,2454.0,"Condo Apt, Apartment",552.0,,700-799 feet??,,water,7,11.0,2020-09-30,2020-10-07,2972.0,3.9,Carlaw & Dundas,,S,Toronto,"Gorgeous Open Concept South Facing Suite In The Coveted Taylor Boutique Loft Style Building. This Split Plan, Spacious 2 Bedrooms, 2 Baths Is The One You've Been Waiting For. Filled With An Abundance Of Natural Light. Exposed Concrete Ceilings, Sleek Stylish Modern European Kitchen With Walk Out To Spacious Balcony With Gas Bbq Hookup That Overlooks The Treetops Of The Neighbourhood. Stroll To Leslieville Shops, Restaurants & Parks."
C4932103,Unit 407 - 205 Manning Ave,Trinity-Bellwoods - Toronto,Condo Apt,599000.0,615617.0,2020-09-29,603000.0,1,1,0,2165.0,"Condo Apt, Apartment",492.0,0-5,500-599 feet??,,"water,heat",8,15.0,2020-09-29,2020-10-09,2200.0,2.8,Dundas & Bathurst,"Bike Storage, Gym, Party/Meeting Room, Security System, Visitor Parking",S,Toronto,"Stylish 1 Bedroom Condo At Boutique Nero In Heart Of Trinity Bellwoods. Expansive South Views Of Cn Tower & Skyline From A True Juliet Balcony. Premium Built-In Kitchen Appliances Including Gas Stove. Locker Included. Exposed Concrete Wall & Black-White Cabinets/Bath. Functional Layout With Many Ways To Make It Your Own Home & Work-From-Home Space. Awesome Location! Steps From Shops, Restaurants, Ttc & The Best Park In Toronto."
C4931115,Unit 515 - 22 Leader Lane,Church-Yonge Corridor - Toronto,Condo Apt,649900.0,647262.0,2020-09-28,638000.0,1+1,1,0,3136.0,"Condo Apt, Apartment",832.0,,700-799 feet??,,"water,heat",9,22.0,2020-09-28,2020-10-08,2076.0,1.59,King & Yonge,"Concierge, Guest Suites, Gym, Party/Meeting Room, Security Guard, Security System",E,Toronto,"John Lennon, Elizabeth Taylor, Meghan Markle. Live In The Home Of Icons Both Past And Present At The Historic King Edward Hotel. 735 Sqft Of Luxury In A 1+1 Bedroom Suite With 10 Ft Ceilings, High End Finishes & A Rarely Offered East Facing Balcony Over A Quiet Courtyard For 120 Sqft Of Extra Living Space At The Best Value Per Sqft In The Building. 1 Min Walk To King Subway, Union, Go Trains, Berczy Park & Waterfront. Access To Upscale Hotel Amenities."
C4930589,Unit 803 - 32 Camden St,Waterfront Communities C1 - Toronto,Condo Apt,699000.0,710181.0,2020-09-28,720000.0,1+1,1,0,2765.0,"Condo Apt, Loft",542.0,,700-799 feet??,,"water,heat",9,20.0,2020-09-28,2020-10-07,2533.0,2.74,Spadina & Richmond & Adelaide,"Bike Storage, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Security System, Visitor Parking",N,Toronto,"Welcome Home To Your Spacious, Sun-Filled & Boutique-Style Downtown Loft! Very Rarely Offered & Highly Coveted Corner Suite Has Open Layout, Soaring Ceilings, Floor To Ceiling Windows, Upgraded Lights, Large Den & Huge Outdoor Balcony With Dbl Sliding Doors. With Only 87 Suites, And Located In The Heart Of King/Queen West, Thirty-Two Camden Lofts Is Intimate Living That Is Steps From The Best Shopping, Dining, And Entertainment T.O. Has To Offer. Won't Last!"
W4928307,411 Symington Ave,Weston-Pellam Park - Toronto,Semi-Detached,699000.0,755462.0,2020-09-25,710000.0,4,1,2,3676.0,"Semi-Detached, 2 1/2 Storey",,,1750 feet?? (SigmaEstimate??),"Full, Unfinished",,12,9.0,2020-09-25,2020-10-08,2324.0,3.11,Dupont St. & Symington,,E,Toronto,Attention Renovators + Developers. Original Condition. Semi Cleaned Out And Ready To Make Your Own. House Backs Onto An Alley. Potential Opportunity For Alley Home In Back. Buyer To Check With City Regarding Potential For Alley Home. House Is Being Sold In As Is Where Is Condition.
C4927552,8 Dublin St,Dufferin Grove - Toronto,Semi-Detached,699000.0,905562.0,2020-10-01,750000.0,3,3,1,4250.0,"Semi-Detached, 2-Storey",,100+,1100-1500 feet??,Unfinished,,13,11.0,2020-09-24,2020-10-08,3760.0,4.36,Lansdowne & Bloor,,N,Toronto,Cozy Home Located In Trendy City Neighborhood. A Stones Throw To Lansdowne/Bloor Including Ttc Subway. Move In Or Modify Adding Your Personal Touches. Parking In The Rear With A Short Walk To Bloor Street Amenities. This Home Has Endless Potential. We Welcome Your Offer.
C4926704,Unit 3808 - 21 Carlton St,Church-Yonge Corridor - Toronto,Condo Apt,618000.0,634759.0,2020-09-24,610000.0,1+1,1,0,2387.0,"Condo Apt, Apartment",457.0,,500-599 feet??,,"water,heat",13,22.0,2020-09-24,2020-10-08,2113.0,2.51,Yonge & Carlton,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",S,Toronto,"Sunny South Unobstructed City And Water View. Enjoy All Of Toronto's Conveniences At Your Doorstep. Subway, Shopping, Universities, Restaurants, Etc. Fantastic Floorplan, 1 Bedroom And Den. Den Can Be Second Bedroom/Office. Upgraded Laminate Floor In The Master And Den. Renovated Washroom."
