Listing_price,Sigma_estimate,Sold_price,Tax,Maintenance,Rental_dom,Rental_estimate,Rental_yield
555000.0,585599.0,545000.0,2155.0,536.0,17.0,2209.0,2.85
599000.0,658573.0,555000.0,2213.0,464.0,14.0,2242.0,2.74
699000.0,773279.0,780000.0,3088.0,395.0,11.0,2606.0,2.91
599900.0,611736.0,590300.0,2621.0,347.0,22.0,2050.0,2.67
598000.0,653108.0,615000.0,2147.0,550.0,14.0,2450.0,2.99
579000.0,604608.0,600000.0,2511.0,540.0,14.0,2075.0,2.47
599000.0,653768.0,635000.0,2454.0,552.0,11.0,2972.0,3.9
599000.0,615617.0,603000.0,2165.0,492.0,15.0,2200.0,2.8
649900.0,647262.0,638000.0,3136.0,832.0,22.0,2076.0,1.59
699000.0,710181.0,720000.0,2765.0,542.0,20.0,2533.0,2.74
618000.0,634759.0,610000.0,2387.0,457.0,22.0,2113.0,2.51
688000.0,681278.0,655000.0,2825.0,420.0,17.0,2142.0,2.44
699900.0,700942.0,695000.0,2600.0,498.0,14.0,2215.0,2.42
657900.0,657699.0,642000.0,2685.0,718.0,22.0,2199.0,2.05
689000.0,707270.0,655000.0,2501.0,473.0,11.0,2775.0,3.41
589800.0,603778.0,662000.0,2315.0,465.0,20.0,1875.0,2.21
629000.0,574502.0,610000.0,2315.0,298.0,23.0,2235.0,3.34
629900.0,641103.0,604500.0,2567.0,476.0,15.0,2325.0,2.88
629000.0,647309.0,605000.0,2249.0,409.0,20.0,1923.0,2.26
749000.0,781772.0,715000.0,2755.0,455.0,13.0,2305.0,2.36
699000.0,741522.0,723000.0,2447.0,451.0,20.0,3198.0,3.83
658000.0,685045.0,701000.0,2183.0,322.0,32.0,2193.0,2.62
599000.0,604685.0,585000.0,2447.0,241.0,9.0,1868.0,2.73
675000.0,727384.0,675000.0,2555.0,654.0,13.0,2435.0,2.44
695000.0,754405.0,860000.0,2881.0,617.0,13.0,2856.0,3.02
619000.0,626477.0,595000.0,2042.0,364.0,20.0,2042.0,2.67
599000.0,609305.0,590000.0,1907.0,1000.0,14.0,2747.0,2.92
599900.0,648042.0,585000.0,2231.0,509.0,21.0,1973.0,2.15
579900.0,602592.0,579900.0,2327.0,814.0,22.0,2072.0,1.87
579999.0,616519.0,550000.0,2308.0,437.0,20.0,1945.0,2.35
669000.0,646446.0,665000.0,2861.0,557.0,23.0,2343.0,2.59
588500.0,628864.0,620000.0,2141.0,415.0,14.0,2129.0,2.77
699900.0,745781.0,771000.0,3014.0,709.0,14.0,2377.0,2.13
569000.0,639262.0,580000.0,2147.0,670.0,14.0,2464.0,2.85
609900.0,623569.0,590000.0,2565.0,512.0,18.0,2275.0,2.76
569900.0,596982.0,560000.0,1853.0,343.0,14.0,1900.0,2.67
599999.0,586694.0,650000.0,1900.0,766.0,25.0,2584.0,3.03
579900.0,609453.0,620000.0,2261.0,470.0,20.0,1850.0,2.14
598000.0,632504.0,620000.0,2902.0,1131.0,14.0,2117.0,1.26
585000.0,620038.0,580000.0,2309.0,446.0,20.0,2164.0,2.72
699000.0,764795.0,730000.0,2345.0,751.0,12.0,2809.0,2.78
599900.0,637465.0,590000.0,2033.0,415.0,20.0,1950.0,2.37
599900.0,609186.0,580000.0,2057.0,291.0,23.0,1833.0,2.47
570000.0,593050.0,540000.0,1889.0,470.0,12.0,1790.0,2.23
649000.0,674548.0,599900.0,2519.0,529.0,14.0,2515.0,2.99
599000.0,612656.0,635000.0,2273.0,406.0,14.0,2218.0,3.01
599000.0,605179.0,641500.0,2285.0,696.0,15.0,2475.0,2.95
690000.0,681297.0,670000.0,2370.0,640.0,15.0,2417.0,2.6
599000.0,627141.0,670000.0,2916.0,594.0,13.0,1869.0,1.85
579900.0,575599.0,564000.0,2099.0,921.0,19.0,2248.0,2.15
699900.0,730934.0,699900.0,3449.0,511.0,20.0,2249.0,2.18
550000.0,538027.0,547000.0,1973.0,277.0,17.0,1717.0,2.66
625900.0,627194.0,578000.0,2162.0,382.0,16.0,2034.0,2.64
675000.0,719104.0,600000.0,2330.0,453.0,11.0,2571.0,3.08
599900.0,607824.0,555000.0,2159.0,371.0,19.0,1875.0,2.42
